no,group1,group2,sc0,sc1,sc2_1,sc3,q2_a1,q2_1b_1,q2_1b_2,q2_a2,q2_2b_1,q2_2b_2,q2_a3,q2_3b_1,q2_3b_2,q2_4_1,q2_4_2,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q3_1,q3_2,q4_1_1,q4_1_2,q4_1_3,q4_2_1,q4_2_2,q4_2_3,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q5_9,q5_10,q5_11,q5_12,q6_1,q6_2,q6_3,q6_4,sq1_1,sq1_2,sq1_3,sq1_4,sq1_5,sq1_6,sq1_7,sq1_8
88,11,1,1,1,42,2,8,,,8,,,8,,,6,0,3,3,3,3,2,3,3,3,3,3,5,5,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,3,2,3,3,3
89,1,,1,1,27,2,3,1,0,8,,,3,0,20,1,0,5,4,4,4,1,4,2,3,5,4,2,2,2,2,2,1,4,4,4,2,2,2,4,4,4,2,1,1,6,5,6,6,,,,,,,,
90,1,,1,1,29,2,8,,,8,,,1,1,0,5,0,3,4,3,4,2,3,4,2,2,2,5,3,2,6,3,4,3,3,3,4,3,3,3,3,2,4,3,4,3,3,3,2,,,,,,,,
91,3,1,1,1,49,2,8,,,8,,,2,1,0,3,0,2,4,3,4,4,3,4,3,1,1,4,4,5,3,4,4,4,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,2,4,3,3,4,2,4,3
92,1,,1,1,29,2,8,,,8,,,7,0,50,3,0,2,1,4,3,3,4,3,2,2,2,5,2,1,5,2,2,3,2,3,1,1,1,3,3,5,1,2,1,1,1,1,1,,,,,,,,
93,3,1,1,1,49,2,1,0,40,2,0,10,3,0,10,3,30,2,4,2,4,2,2,4,2,7,4,4,5,5,3,3,2,4,4,5,5,1,1,3,4,5,5,3,1,6,5,7,6,2,1,1,5,2,1,4,2
95,8,,1,2,59,2,8,,,8,,,1,0,10,8,30,1,5,1,5,5,2,4,1,1,1,6,6,6,2,2,1,2,3,3,1,1,4,2,2,5,2,3,4,4,4,4,4,,,,,,,,
96,11,1,1,1,46,2,8,,,8,,,8,,,12,0,3,3,3,2,3,2,4,3,2,3,5,5,5,4,4,4,3,3,4,4,3,2,3,3,3,4,3,2,2,2,2,2,3,3,3,3,2,3,3,3
97,16,,1,2,58,2,8,,,8,,,8,,,5,0,2,2,3,3,4,3,3,3,3,3,5,5,5,3,3,3,1,1,1,3,3,4,2,2,1,2,4,2,2,2,2,2,,,,,,,,
98,8,1,1,2,56,2,8,,,8,,,3,1,0,10,0,2,4,4,2,4,2,4,2,2,2,6,6,6,6,6,5,3,2,4,4,2,1,3,3,5,4,4,1,2,2,2,1,2,4,4,4,4,3,4,2
99,3,,1,1,46,2,8,,,8,,,3,1,0,6,0,2,4,3,4,4,2,4,2,2,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
100,2,1,1,1,34,2,8,,,4,1,0,8,,,10,0,3,2,3,2,2,3,3,4,2,2,6,7,6,4,4,4,2,2,4,4,4,2,2,3,3,5,3,2,2,2,2,2,3,4,2,4,3,2,3,4
101,1,1,1,1,23,2,2,1,0,3,1,0,5,1,0,5,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3
102,4,,1,1,59,2,8,,,8,,,5,1,0,5,0,2,3,2,3,2,2,3,4,5,5,5,5,5,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,5,5,4,4,,,,,,,,
103,8,,1,2,55,2,8,,,8,,,7,2,0,8,0,1,5,1,5,5,1,5,1,3,2,3,3,3,6,6,6,1,1,3,3,1,2,1,1,3,1,1,2,1,1,1,1,,,,,,,,
104,2,1,1,1,39,2,8,,,8,,,7,1,0,16,0,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2,4,3,3,4,3,4,3
105,13,1,1,2,26,2,8,,,8,,,8,,,15,0,1,4,2,4,4,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,4,1,1,1,1,2,4,1,1,1,2,1,5,1,5,5,2,4,1
106,7,1,1,2,49,2,8,,,8,,,6,1,0,5,0,1,4,1,4,4,1,4,1,1,1,2,2,2,5,5,5,2,2,3,3,2,3,1,1,3,3,3,2,3,3,3,3,1,4,2,4,4,2,4,2
107,1,1,1,1,24,2,8,,,8,,,7,3,30,2,0,1,5,3,3,3,1,5,1,4,4,7,7,7,4,3,3,3,4,3,3,3,2,3,3,3,2,3,3,4,4,4,4,3,3,3,4,4,4,4,4
108,2,1,1,1,36,2,5,5,0,5,3,0,2,0,30,4,0,1,4,2,5,5,1,5,1,3,3,6,6,5,2,3,3,2,2,4,3,3,2,1,2,4,4,1,2,4,3,3,2,1,4,1,5,5,1,5,1
109,12,,1,1,52,2,8,,,8,,,8,,,10,0,2,3,2,2,5,2,4,2,1,1,4,4,4,2,4,2,3,1,1,1,1,3,1,1,4,2,1,2,2,2,2,2,,,,,,,,
110,13,,1,2,23,2,8,,,8,,,8,,,15,0,1,5,1,5,5,1,5,1,1,1,6,6,7,1,2,2,2,1,2,4,4,2,1,1,4,4,4,2,2,1,1,1,,,,,,,,
111,6,1,1,2,32,2,8,,,8,,,2,3,0,10,0,1,1,1,1,4,1,4,1,1,1,4,4,4,4,4,4,1,1,3,1,1,1,1,1,1,1,1,1,4,1,1,1,1,5,1,5,5,1,5,1
112,5,,1,2,24,2,2,0,20,3,0,20,8,,,0,30,2,2,2,2,2,3,3,4,3,3,4,4,5,5,5,5,3,3,4,4,3,2,3,3,3,3,3,2,2,3,3,3,,,,,,,,
113,1,,1,1,24,2,3,1,0,3,1,0,5,1,0,5,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,,,,,,,,
114,8,1,1,2,55,2,3,0,30,8,,,3,0,30,3,0,3,2,3,2,3,4,2,4,3,3,7,7,7,4,5,4,3,2,4,2,4,3,2,2,3,3,3,3,5,5,5,5,3,3,3,3,3,3,3,3
115,7,1,1,2,46,2,8,,,8,,,1,3,0,2,0,2,4,3,4,4,2,4,2,1,1,6,7,7,2,2,3,3,3,4,3,2,1,2,3,5,5,3,2,2,3,3,2,2,4,4,3,2,2,4,2
116,7,,1,2,45,2,8,,,8,,,5,1,0,0,30,3,4,3,3,3,3,1,3,1,1,7,7,7,4,4,4,3,2,2,1,1,1,3,1,4,1,1,1,4,4,4,4,,,,,,,,
117,16,1,1,2,53,2,8,,,8,,,8,,,0,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
118,1,1,1,1,26,2,8,,,8,,,1,0,20,10,0,2,4,1,4,4,2,4,2,1,1,7,7,7,1,3,1,1,5,5,5,2,1,2,4,5,5,2,2,1,1,1,1,2,4,2,4,5,2,4,2
119,8,,1,2,57,2,3,0,30,1,0,20,5,2,0,7,0,4,2,5,2,1,4,2,4,6,6,7,7,7,7,7,7,5,5,5,5,1,1,5,4,5,3,1,1,7,7,5,5,,,,,,,,
120,6,1,1,2,35,2,8,,,2,2,0,5,1,0,5,0,2,3,3,2,3,3,3,3,2,2,5,5,5,5,5,7,3,3,3,1,1,1,3,3,3,3,3,1,4,2,1,2,2,3,3,4,3,3,3,2
121,7,1,1,2,42,2,8,,,8,,,1,1,0,7,0,4,3,4,3,1,3,3,3,4,4,1,1,1,1,1,1,5,3,5,4,4,5,5,4,5,4,4,4,4,3,3,3,4,3,3,4,1,3,3,3
122,5,,1,2,27,2,8,,,5,0,20,5,0,20,2,30,2,2,5,2,2,4,2,3,1,1,5,6,6,4,2,3,3,3,2,2,1,1,2,3,4,2,1,1,3,4,3,4,,,,,,,,
123,3,,1,1,42,2,8,,,8,,,2,0,20,6,0,5,1,5,1,1,5,1,5,1,1,7,7,7,7,7,7,5,5,5,3,3,1,5,5,5,4,3,1,4,5,5,4,,,,,,,,
124,6,,1,2,34,2,1,1,30,1,1,0,6,0,20,0,30,4,1,4,1,1,4,1,4,3,5,6,6,7,7,6,7,4,5,4,1,3,3,4,4,4,3,4,2,5,5,3,6,,,,,,,,
125,6,,1,2,38,2,8,,,1,0,30,2,0,30,4,0,3,4,3,3,3,3,4,3,5,1,4,4,4,3,2,2,3,1,3,3,1,2,2,2,3,2,2,1,6,4,4,4,,,,,,,,
126,7,,1,2,40,2,5,1,0,5,1,0,5,1,0,8,0,3,3,3,3,3,3,3,3,4,4,6,6,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,,,,,,,,
