no,group1,group2,sc0,sc1,sc2_1,sc3,q2_a1,q2_1b_1,q2_1b_2,q2_a2,q2_2b_1,q2_2b_2,q2_a3,q2_3b_1,q2_3b_2,q2_4_1,q2_4_2,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q3_1,q3_2,q4_1_1,q4_1_2,q4_1_3,q4_2_1,q4_2_2,q4_2_3,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q5_9,q5_10,q5_11,q5_12,q6_1,q6_2,q6_3,q6_4,sq1_1,sq1_2,sq1_3,sq1_4,sq1_5,sq1_6,sq1_7,sq1_8
171,13,,1,2,25,2,8,,,8,,,8,,,16,0,1,4,3,4,1,4,3,1,1,1,7,7,7,5,5,4,3,3,5,3,1,1,3,3,5,3,1,1,1,1,1,1,,,,,,,,
172,5,1,1,2,25,2,8,,,8,,,2,0,10,10,0,1,3,2,4,4,2,4,2,2,2,4,5,4,4,4,4,2,3,3,3,2,3,3,3,2,2,2,2,2,4,4,4,2,2,2,4,4,2,4,3
173,5,,1,2,29,2,8,,,7,0,40,4,0,10,0,50,3,4,4,3,4,3,2,4,5,6,6,6,6,7,7,6,4,4,4,3,1,1,4,3,4,2,2,1,6,7,7,3,,,,,,,,
174,6,,1,2,30,2,2,0,30,2,0,10,6,1,0,8,0,2,2,3,4,3,3,3,2,5,4,5,5,6,4,4,5,4,2,3,4,3,2,2,4,4,4,3,1,2,2,2,1,,,,,,,,
175,2,1,1,1,37,2,1,2,0,1,2,0,7,3,0,8,0,4,4,4,2,2,4,2,4,6,6,7,7,7,7,7,7,4,4,4,2,4,1,4,4,5,2,2,1,2,5,5,3,4,2,4,2,1,4,1,4
176,2,1,1,1,35,2,2,1,0,8,,,7,0,20,15,0,3,3,3,3,3,3,3,3,5,4,6,6,6,5,5,5,4,4,4,2,2,4,4,4,4,3,3,2,5,5,5,5,3,3,3,3,3,3,3,3
177,7,1,1,2,40,2,5,1,30,6,1,30,7,1,0,8,30,4,4,4,4,1,4,2,4,7,7,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,3,4,1,3,6,6,6,4,4,4,4,2,4,2,4
178,2,1,1,1,35,2,8,,,5,3,0,2,0,40,4,0,2,3,3,3,3,3,4,3,1,1,4,4,4,3,3,3,3,3,3,1,1,2,3,3,3,1,1,2,1,1,1,1,3,3,3,3,3,3,3,3
179,1,1,1,1,27,2,5,1,0,8,,,7,1,0,4,0,4,3,3,3,2,4,2,4,3,3,5,4,4,4,4,4,3,3,2,3,3,2,3,3,3,2,3,2,3,3,4,3,4,4,3,4,2,3,3,3
180,1,1,1,1,25,2,8,,,8,,,7,1,0,10,0,4,3,3,3,4,4,4,3,1,1,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,2,4,3,3
181,5,1,1,2,20,2,3,1,0,3,1,0,3,1,0,1,0,3,2,2,3,3,4,3,3,3,3,4,4,4,3,4,4,3,2,2,3,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,2
182,2,,1,1,37,2,3,1,0,3,2,0,3,1,0,3,0,5,4,3,5,4,5,4,4,6,6,7,6,6,5,7,6,5,4,5,4,5,5,5,4,4,5,4,5,7,6,6,7,,,,,,,,
183,5,,1,2,24,2,8,,,8,,,5,0,30,8,40,2,2,3,4,4,2,4,2,4,4,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,,,,,,,,
184,11,1,1,1,46,2,8,,,8,,,8,,,12,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1
185,6,1,1,2,36,2,8,,,8,,,3,0,30,5,30,3,3,3,3,3,4,3,3,2,2,6,6,6,4,3,4,3,3,2,3,1,3,2,3,4,4,1,2,5,4,3,5,3,3,3,3,2,4,3,3
186,4,1,1,1,51,2,2,1,0,7,3,0,7,2,0,4,0,3,3,2,3,3,3,3,3,3,1,6,6,6,4,4,4,3,3,3,3,1,1,3,3,4,3,1,1,5,5,5,5,3,3,3,3,3,3,3,3
187,5,1,1,2,26,2,8,,,8,,,3,1,0,10,0,2,2,2,2,3,3,3,3,2,3,3,4,3,3,3,3,2,2,2,2,2,3,2,2,2,2,2,1,4,3,3,3,2,4,2,2,4,2,2,2
188,6,,1,2,37,2,8,,,5,0,50,2,0,30,4,0,1,5,1,5,5,1,5,1,3,3,5,5,5,2,2,1,1,1,1,3,1,5,1,1,2,1,1,3,1,1,1,1,,,,,,,,
189,7,,1,2,42,2,8,,,8,,,3,1,0,10,0,2,4,2,4,4,2,4,2,2,2,6,6,6,4,4,4,3,3,3,4,2,2,3,3,4,4,3,2,3,2,3,2,,,,,,,,
191,2,,1,1,35,2,8,,,8,,,7,0,30,10,0,1,4,3,4,4,2,4,2,1,1,1,2,3,2,2,2,2,2,2,2,2,3,1,2,3,3,3,3,4,2,3,2,,,,,,,,
193,7,,1,2,47,2,8,,,8,,,5,1,0,8,0,2,3,2,3,4,2,4,2,2,2,5,6,6,3,4,3,3,3,3,3,2,2,2,2,4,3,2,2,2,3,2,2,,,,,,,,
194,6,,1,2,38,2,4,0,30,4,0,30,7,1,30,6,0,5,1,5,1,1,5,1,5,6,6,7,7,7,7,7,7,5,5,5,3,1,5,5,5,5,4,5,1,5,7,5,6,,,,,,,,
195,7,,1,2,41,2,8,,,1,0,10,8,,,1,0,1,5,2,4,4,3,4,3,2,2,5,5,4,5,5,4,1,2,2,2,4,2,2,2,3,3,2,3,3,3,3,3,,,,,,,,
196,10,1,1,1,36,2,8,,,8,,,8,,,8,0,4,4,2,3,3,4,4,3,2,4,4,5,5,5,4,4,2,3,4,5,4,3,3,3,2,2,2,1,2,3,4,4,3,3,4,4,2,2,3,4
197,15,,1,2,47,2,8,,,8,,,8,,,10,0,2,4,3,3,3,3,4,2,3,3,6,6,6,2,2,2,3,2,4,2,2,1,2,2,4,2,2,1,3,3,3,3,,,,,,,,
198,6,,1,2,32,2,8,,,5,0,10,7,0,30,2,0,2,3,4,2,3,4,2,4,2,2,4,4,4,3,3,3,2,1,3,1,1,2,3,3,3,3,1,2,5,5,5,5,,,,,,,,
199,5,,1,2,28,2,1,3,0,1,2,0,2,1,0,2,0,5,4,3,2,1,2,3,4,5,4,7,6,5,7,6,5,5,4,3,2,3,4,5,4,3,2,3,4,5,4,3,2,,,,,,,,
200,7,,1,2,40,2,1,0,10,7,2,0,5,0,10,10,0,3,3,1,4,4,1,4,3,3,4,5,3,5,3,4,4,4,2,4,4,2,5,2,2,3,4,3,5,3,4,2,4,,,,,,,,
201,3,1,1,1,48,2,8,,,8,,,2,0,20,2,0,3,3,3,3,2,4,3,3,3,3,5,5,5,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
202,9,1,1,1,25,2,8,,,8,,,8,,,0,0,4,1,3,2,3,4,3,2,3,3,5,4,5,4,3,3,2,1,4,2,1,3,2,2,2,4,3,2,4,3,3,3,3,2,2,2,2,4,1,1
203,12,1,1,1,58,2,8,,,8,,,8,,,8,0,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
204,1,,1,1,24,2,1,0,0,1,0,0,2,1,0,4,0,2,4,2,4,4,2,4,2,1,1,2,3,3,2,3,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,,,,,,,,
205,6,1,1,2,39,2,3,0,40,8,,,7,8,0,1,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3
206,2,,1,1,38,2,8,,,1,1,0,5,2,0,10,0,2,2,2,2,3,2,4,2,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,,,,,,,,
207,11,1,1,1,41,2,8,,,8,,,8,,,6,0,4,3,4,4,3,4,3,3,4,3,4,4,4,4,4,4,4,3,3,4,4,3,4,3,3,2,4,4,4,3,4,3,4,3,2,4,2,4,3,3
208,9,,1,1,29,2,8,,,8,,,8,,,0,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,,,,,,,,
209,1,,1,1,26,2,4,3,0,2,1,0,7,1,0,10,0,5,1,5,2,1,5,1,5,7,5,1,1,1,2,2,2,5,5,5,3,1,2,5,5,5,4,2,1,4,3,5,5,,,,,,,,
210,11,1,1,1,43,2,8,,,8,,,8,,,8,0,2,2,4,4,5,3,3,2,1,1,4,4,4,4,4,4,2,2,2,2,1,2,3,1,4,1,1,1,2,2,2,2,3,4,4,4,4,3,3,3
211,6,,1,2,30,2,1,0,30,8,,,1,0,20,3,0,2,4,3,4,5,3,3,3,1,1,1,1,1,5,5,4,3,3,3,3,1,1,3,1,3,1,1,2,4,1,1,2,,,,,,,,
212,6,,1,2,32,2,8,,,8,,,7,1,0,15,0,2,5,1,5,5,1,5,3,1,1,3,1,3,1,1,1,1,1,1,2,3,3,1,1,1,3,1,2,1,1,1,1,,,,,,,,
213,5,,1,2,29,2,8,,,5,0,10,5,0,40,11,0,2,4,4,3,2,4,3,3,2,2,6,7,7,4,5,3,3,2,3,1,1,2,4,3,5,2,2,1,1,2,2,2,,,,,,,,
214,12,,1,1,57,2,8,,,8,,,8,,,8,0,2,3,3,3,3,2,3,3,3,2,4,3,3,4,3,4,3,2,3,3,3,3,2,2,2,2,3,2,3,2,3,3,,,,,,,,
215,4,,1,1,52,2,1,1,0,1,1,0,1,1,0,0,30,4,3,3,4,3,3,4,3,4,4,4,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,4,3,3,3,2,3,,,,,,,,
216,1,,1,1,25,2,1,2,0,2,2,0,2,2,0,0,20,2,3,1,2,1,1,1,1,2,3,5,2,3,3,4,2,4,2,4,3,3,2,2,3,3,1,4,1,1,3,1,2,,,,,,,,
217,4,,1,1,55,2,8,,,8,,,3,2,0,10,0,1,3,3,3,3,2,4,2,2,2,3,3,3,3,3,4,3,2,2,2,1,3,2,3,2,2,2,2,3,2,2,1,,,,,,,,
218,10,1,1,1,39,2,8,,,8,,,8,,,5,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
219,8,1,1,2,55,2,2,1,0,8,,,4,0,30,8,0,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,3,3,3,3,3
220,13,1,1,2,23,2,8,,,8,,,8,,,12,0,2,4,3,4,2,2,4,2,2,2,6,6,6,3,5,4,2,3,3,4,2,2,3,3,4,3,2,2,4,3,5,3,2,4,2,4,3,2,4,2
221,2,,1,1,35,2,8,,,8,,,4,1,0,16,0,2,4,3,4,4,3,4,3,5,4,6,6,7,3,4,4,3,2,4,3,4,1,2,3,5,3,4,1,4,2,2,2,,,,,,,,
222,8,1,1,2,58,2,8,,,8,,,7,2,0,7,0,3,4,2,4,4,3,3,2,1,1,3,5,5,4,4,3,3,2,4,3,2,2,3,3,3,2,2,1,3,3,3,3,2,3,2,2,3,3,3,2
223,8,1,1,2,53,2,8,,,7,0,20,7,1,0,5,0,1,5,1,5,5,1,5,1,1,1,7,7,7,1,4,1,1,1,2,1,2,1,1,1,5,3,1,1,2,1,1,1,1,4,1,4,4,2,4,2
224,14,1,1,2,39,2,8,,,8,,,8,,,16,0,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,1,1,3,1,1,1,1,3,3,3,3,3,3,3,3
225,3,,1,1,42,2,8,,,8,,,7,1,0,8,0,2,4,3,3,3,4,3,3,3,4,6,5,6,3,5,4,2,2,2,2,2,3,2,2,3,2,3,3,3,3,3,3,,,,,,,,
226,5,1,1,2,28,2,8,,,8,,,5,0,40,5,0,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,5,1,5,1
227,1,,1,1,25,2,1,2,0,1,2,0,5,0,10,5,0,5,2,5,2,2,4,2,3,5,5,6,6,6,3,2,2,4,5,5,3,1,1,4,4,5,5,1,1,4,5,4,5,,,,,,,,
229,6,,1,2,38,2,8,,,8,,,7,0,30,10,0,1,3,1,4,3,2,4,2,1,1,2,2,2,5,5,7,3,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,,,,,,,,
230,1,,1,1,22,2,4,0,50,8,,,3,0,30,6,0,4,2,3,3,2,2,2,3,5,5,7,1,2,4,4,5,4,3,4,3,1,1,2,1,5,1,1,1,3,5,5,2,,,,,,,,
231,2,,1,1,33,2,8,,,8,,,3,0,20,0,0,2,3,2,2,5,2,4,3,4,4,1,1,1,1,1,1,4,4,4,2,2,4,4,4,4,2,4,2,5,5,4,4,,,,,,,,
232,3,,1,1,46,2,8,,,8,,,2,1,0,16,0,3,2,3,3,3,4,2,3,2,1,5,5,7,5,4,5,3,2,3,1,1,1,3,1,5,1,1,1,1,2,1,1,,,,,,,,
233,1,1,1,1,28,2,8,,,8,,,1,0,20,3,0,3,3,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,5,1,1,7,7,7,7,4,1,3,1,3,4,1,3
234,8,1,1,2,51,2,8,,,8,,,2,0,10,4,0,2,4,2,4,3,2,4,2,2,2,5,5,5,3,3,3,2,2,2,3,4,3,3,4,2,3,2,2,2,2,2,2,2,2,3,3,3,4,4,3
235,3,1,1,1,48,2,2,2,0,1,0,30,7,2,0,0,40,3,3,3,3,3,4,3,4,5,5,4,5,5,5,5,5,4,4,5,3,1,3,4,4,4,2,2,2,7,6,6,5,4,3,3,3,3,4,3,3
236,6,,1,2,37,2,1,0,30,8,,,4,0,20,9,0,1,4,2,4,4,1,5,1,2,2,5,5,6,2,3,2,2,2,2,2,4,2,2,2,2,2,5,4,1,2,1,1,,,,,,,,
237,5,1,1,2,27,2,8,,,8,,,6,2,0,2,0,3,2,3,3,4,4,3,3,2,2,5,5,5,6,6,6,4,3,4,2,3,3,4,3,4,1,2,2,5,5,4,4,3,1,1,3,4,3,4,4
238,8,1,1,2,53,2,8,,,8,,,3,0,30,8,30,1,4,1,4,4,1,4,1,1,1,1,1,1,1,1,2,3,3,3,2,2,2,2,2,3,2,3,2,5,5,5,5,2,4,1,4,4,1,4,1
239,8,,1,2,57,2,8,,,8,,,5,1,30,8,0,2,2,4,2,2,2,3,2,3,3,6,6,5,4,4,3,1,2,1,5,2,2,2,2,2,2,2,1,7,7,7,5,,,,,,,,
240,1,,1,1,29,2,8,,,1,1,0,2,1,0,8,0,2,3,3,3,2,3,3,3,2,2,5,5,5,3,3,2,2,2,2,2,2,3,2,2,3,2,2,3,3,3,3,4,,,,,,,,
241,1,1,1,1,28,2,8,,,8,,,5,1,30,3,30,3,3,3,3,2,3,2,3,2,2,4,4,4,3,3,3,3,3,4,3,3,2,3,3,3,3,2,4,2,3,3,3,3,3,3,2,4,3,3,4
242,11,,1,1,49,2,8,,,8,,,8,,,15,0,1,4,2,4,5,2,5,1,1,1,3,2,4,1,1,1,1,2,2,2,2,4,2,1,2,3,2,2,2,2,1,1,,,,,,,,
243,16,1,1,2,57,2,8,,,8,,,8,,,7,0,1,4,3,3,4,2,4,2,1,1,4,5,5,3,4,3,2,2,2,2,1,3,2,3,3,2,1,3,2,2,2,2,3,3,3,4,3,2,4,3
244,9,,1,1,28,2,8,,,8,,,8,,,15,0,2,5,1,5,4,2,4,1,1,1,1,1,1,2,3,1,3,3,5,5,3,1,2,1,5,5,4,1,1,1,1,2,,,,,,,,
245,4,1,1,1,56,2,8,,,2,1,0,5,2,0,10,0,3,3,3,3,3,3,3,3,2,2,5,5,5,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,3,3,3,3,3,3,3,3
246,6,1,1,2,32,2,3,0,30,5,3,0,7,1,0,8,0,5,3,4,3,1,4,3,4,7,7,7,7,7,7,6,7,5,4,4,4,5,3,5,4,4,3,5,4,6,5,6,7,5,2,5,4,4,5,1,4
247,8,1,1,2,53,2,8,,,8,,,5,0,20,2,30,2,4,3,4,4,2,3,2,1,2,4,4,4,4,4,4,3,3,3,3,2,2,3,3,3,3,2,2,4,4,4,4,3,3,3,4,4,3,3,3
248,5,,1,2,23,2,8,,,8,,,5,0,20,10,0,2,4,2,4,4,2,4,2,2,2,3,5,5,3,4,4,2,2,2,2,2,2,2,2,4,2,2,2,5,5,5,4,,,,,,,,
249,5,,1,2,29,2,8,,,8,,,3,0,50,5,0,3,3,3,3,3,3,4,3,4,4,6,6,5,5,3,4,4,3,3,3,4,4,3,4,3,3,3,3,4,3,3,3,,,,,,,,
250,9,1,1,1,22,2,8,,,8,,,8,,,7,0,1,4,1,5,5,1,5,1,1,1,5,7,7,7,7,7,1,1,3,5,1,1,1,1,5,1,1,1,1,1,1,1,1,5,5,5,5,1,5,1
251,1,,1,1,23,2,8,,,8,,,3,0,40,6,30,1,4,1,5,5,1,5,2,4,4,1,1,1,6,2,3,1,1,4,1,1,1,1,1,5,1,2,1,2,1,1,1,,,,,,,,
252,11,1,1,1,40,2,8,,,8,,,8,,,15,0,3,3,3,3,3,3,3,1,1,1,4,4,4,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3
253,12,1,1,1,52,2,8,,,8,,,8,,,0,0,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
254,3,,1,1,48,2,8,,,8,,,1,0,40,1,0,4,2,3,3,1,4,2,3,2,2,7,7,7,7,7,7,4,4,4,3,3,2,4,4,4,3,3,2,4,4,4,4,,,,,,,,
256,4,,1,1,52,2,2,1,50,1,0,30,8,,,15,0,4,2,3,2,2,4,2,4,1,1,5,6,6,5,5,6,4,4,4,3,1,1,5,3,5,3,1,1,5,5,4,1,,,,,,,,
257,3,,1,1,43,2,8,,,8,,,4,0,10,4,0,2,4,3,4,3,2,4,3,2,2,4,4,4,4,4,4,3,2,3,3,3,2,2,2,4,2,3,2,3,3,4,4,,,,,,,,
258,7,1,1,2,43,2,8,,,8,,,7,1,0,8,0,3,4,3,4,4,3,3,3,4,3,5,6,6,3,4,4,3,2,2,3,1,2,3,2,4,2,2,1,3,3,2,2,2,4,2,4,3,3,3,3
259,2,,1,1,34,2,3,0,30,4,0,30,7,1,0,5,0,4,2,4,2,2,4,2,4,3,3,5,6,6,4,5,5,4,5,5,4,1,1,4,4,5,5,1,1,4,4,5,5,,,,,,,,
260,1,,1,1,28,2,8,,,8,,,2,1,0,15,0,3,3,3,3,3,4,2,4,3,3,4,4,4,5,5,4,3,4,3,4,3,3,2,3,3,4,4,4,4,5,4,5,,,,,,,,
261,4,1,1,1,54,2,8,,,8,,,7,0,30,15,0,1,1,1,1,5,3,3,3,1,1,5,4,4,4,5,5,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
262,8,1,1,2,53,2,8,,,1,0,30,1,0,20,9,30,3,4,3,3,3,4,3,3,3,3,4,4,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,3,4,3,4,3,2,2,2,2,2,2,2
263,11,,1,1,44,2,8,,,8,,,8,,,4,50,1,5,1,5,5,1,5,1,1,1,7,7,7,1,1,1,1,1,1,1,5,5,1,1,5,5,5,1,1,1,1,1,,,,,,,,
264,13,,1,2,29,2,8,,,8,,,8,,,7,0,1,1,1,1,1,1,1,1,1,1,4,5,3,6,6,6,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,,,,,,,,
265,2,,1,1,38,2,1,1,30,3,0,30,5,0,20,2,30,4,2,4,1,2,4,1,4,4,3,5,5,5,5,5,6,4,4,5,3,2,1,4,4,4,3,3,1,4,5,5,4,,,,,,,,
266,7,,1,2,42,2,8,,,8,,,7,6,0,6,0,2,3,3,3,3,3,4,3,3,3,5,5,5,5,5,5,2,3,3,1,3,3,3,3,3,4,4,4,3,3,3,3,,,,,,,,
267,11,,1,1,48,2,8,,,8,,,8,,,0,0,3,3,3,3,3,3,3,3,5,5,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
268,2,1,1,1,33,2,8,,,8,,,7,2,0,2,0,3,3,3,3,4,5,4,4,3,3,5,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,5,5,3,3,3,3,3,4,4,4,4,4,4,4
269,14,1,1,2,35,2,8,,,8,,,8,,,5,30,4,1,4,1,3,4,1,3,1,1,5,6,6,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,2,2,2,2,5,1,5,1,3,5,1,5
270,4,1,1,1,58,2,8,,,8,,,1,0,40,6,0,3,3,3,3,2,4,2,3,2,2,1,1,6,4,4,5,3,4,4,2,1,1,3,4,4,3,1,1,3,5,5,5,4,2,4,2,2,4,2,4
271,3,1,1,1,43,2,8,,,8,,,3,1,20,8,0,1,5,1,5,5,1,5,5,1,1,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,3,3,3,3,3,3,3,3
272,7,1,1,2,45,2,8,,,8,,,3,1,0,16,0,3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3
273,8,,1,2,55,2,8,,,2,0,30,7,1,0,2,0,4,2,4,2,2,4,2,4,2,2,6,6,6,5,5,5,3,3,4,2,2,2,4,4,4,2,3,2,5,5,5,4,,,,,,,,
274,3,,1,1,47,2,1,2,0,1,1,0,3,1,0,2,0,3,3,4,3,2,4,2,3,4,4,5,5,5,5,5,5,4,3,3,4,2,3,4,3,4,3,2,2,3,4,4,3,,,,,,,,
275,3,1,1,1,43,2,1,3,0,8,,,1,1,0,2,0,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,3,3,4,2,2,2,4,2,4,2,2,2,2,4,1,6,3,3,3,3,3,3,3,3
276,5,1,1,2,21,2,5,2,50,4,2,10,5,3,20,1,20,4,3,3,3,4,4,3,4,5,3,5,4,4,1,2,3,1,2,3,4,5,5,5,5,5,4,3,3,1,3,3,4,3,3,3,4,4,2,4,3
277,4,,1,1,55,2,8,,,8,,,6,1,30,4,0,4,2,4,1,2,4,2,4,2,3,5,5,5,6,6,4,4,4,4,4,2,2,4,4,4,4,2,1,7,6,6,5,,,,,,,,
278,7,1,1,2,48,2,8,,,8,,,5,0,30,9,0,1,1,1,1,1,1,1,1,1,1,3,2,4,2,4,4,3,2,2,2,2,2,2,3,3,3,3,3,4,3,3,3,1,4,1,4,4,1,4,1
279,6,,1,2,32,2,8,,,8,,,2,0,40,10,0,2,4,3,4,4,3,3,2,2,2,7,7,6,3,3,4,2,1,3,3,2,1,1,1,4,4,2,2,2,2,2,5,,,,,,,,
280,6,1,1,2,33,2,1,0,30,4,0,30,2,0,30,5,0,3,3,2,3,4,4,2,3,7,7,7,7,7,5,4,2,4,2,4,5,1,1,3,3,5,5,1,1,4,4,4,1,3,3,3,3,3,4,2,3
281,4,,1,1,52,2,8,,,8,,,3,0,10,5,0,1,4,2,4,5,2,4,2,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,3,3,3,2,2,2,2,2,,,,,,,,
282,13,,1,2,28,2,8,,,8,,,8,,,10,0,1,1,1,1,1,1,1,1,1,1,4,4,4,2,2,2,3,2,1,2,2,2,2,2,3,2,2,2,2,3,2,2,,,,,,,,
283,7,,1,2,42,2,8,,,1,0,30,1,0,30,10,30,1,5,1,5,5,1,5,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,5,1,4,2,1,1,1,1,,,,,,,,
284,3,1,1,1,49,2,8,,,8,,,7,1,0,4,0,2,3,3,3,4,2,4,3,1,1,7,7,7,4,4,4,3,2,2,2,2,1,2,1,5,3,1,1,1,1,1,1,3,3,2,3,3,3,3,2
285,8,,1,2,58,2,8,,,8,,,1,1,0,5,0,1,5,1,5,5,1,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,,,,,,,,
286,6,1,1,2,30,2,1,0,30,1,1,30,7,1,0,0,30,4,3,4,4,4,4,2,4,4,5,5,5,6,5,3,4,3,4,4,4,4,4,3,4,4,3,4,4,4,5,5,5,4,4,3,4,3,4,1,4
287,4,,1,1,59,2,1,2,0,1,1,30,5,2,0,5,0,4,1,4,1,1,4,1,4,6,4,6,6,7,7,7,7,5,5,5,4,1,1,5,5,5,3,1,1,7,7,7,7,,,,,,,,
288,14,1,1,2,37,2,8,,,8,,,8,,,12,0,1,1,1,1,5,1,5,1,1,1,7,7,7,1,1,1,1,1,1,3,3,3,3,3,5,3,3,1,4,1,1,1,1,5,1,5,5,1,5,1
289,4,1,1,1,57,2,8,,,8,,,3,0,30,12,0,3,4,3,4,4,3,4,2,1,1,4,3,5,4,3,3,3,4,4,5,2,5,2,3,3,2,5,5,1,5,3,3,3,4,2,4,4,2,4,2
290,4,,1,1,54,2,1,4,0,1,1,0,2,0,20,0,40,2,2,3,3,5,2,2,2,2,2,3,4,3,3,4,3,3,4,3,4,3,3,3,3,4,3,3,4,2,3,3,3,,,,,,,,
291,2,1,1,1,39,2,2,2,0,8,,,7,1,0,1,30,5,1,5,1,1,5,1,5,4,4,7,7,7,7,7,7,5,5,5,5,1,1,5,5,5,5,1,1,5,4,4,1,5,1,5,1,1,5,1,5
292,7,,1,2,46,2,8,,,7,1,0,8,,,0,10,4,4,4,3,4,4,3,3,6,4,5,5,5,6,2,3,4,4,4,3,3,3,3,3,4,5,4,2,5,5,5,3,,,,,,,,
293,10,1,1,1,38,2,8,,,8,,,8,,,9,0,2,4,2,4,4,3,3,2,2,2,4,4,4,4,4,3,2,1,2,1,1,3,2,2,4,2,2,2,2,2,2,1,2,4,2,4,4,2,4,2
294,8,1,1,2,53,2,8,,,8,,,7,2,30,7,0,1,4,2,4,2,2,4,1,1,1,4,4,4,3,3,3,1,2,2,1,1,3,1,1,3,1,1,2,2,2,2,2,1,5,1,5,4,1,4,1
295,7,,1,2,47,2,8,,,1,0,40,8,,,8,30,2,3,3,3,3,3,4,2,4,3,5,6,6,4,3,4,3,3,4,3,2,2,3,3,3,2,3,2,2,3,2,2,,,,,,,,
296,4,1,1,1,50,2,1,1,30,1,1,30,7,1,0,13,0,2,3,3,4,3,3,3,4,6,6,6,6,6,4,4,4,3,3,3,3,2,1,3,4,4,2,3,2,6,6,5,5,3,3,3,3,3,3,3,3
297,4,,1,1,51,2,8,,,8,,,7,0,40,8,0,4,2,4,2,2,4,2,4,2,2,5,5,5,5,5,5,4,4,4,4,2,2,4,4,4,2,4,2,6,6,6,6,,,,,,,,
298,6,1,1,2,35,2,8,,,2,0,10,2,0,50,3,0,3,1,3,2,2,4,3,3,3,6,5,5,7,5,5,6,3,2,2,3,4,5,1,1,1,5,5,5,6,5,5,4,4,3,4,2,1,4,2,3
299,6,1,1,2,30,2,7,16,0,7,16,0,7,0,30,0,30,5,5,5,5,5,5,1,5,5,5,1,1,1,1,1,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,1,1,1,1,1,1,5,1
300,6,,1,2,34,2,8,,,8,,,7,1,0,0,30,3,3,3,3,4,3,3,3,2,2,7,7,7,6,3,3,4,4,4,2,4,2,4,4,4,4,4,2,5,5,5,5,,,,,,,,
